step,d_loss,h_loss,gpu_temp
228,0.693147,0.693945,64
229,0.693143,0.692878,64
230,0.693141,0.693413,65
231,0.693146,0.69306,65
232,0.693146,0.693273,65
233,0.693136,0.692945,65
234,0.693147,0.69336,65
235,0.693148,0.692964,65
236,0.693146,0.692971,65
237,0.693147,0.6932,65
238,0.693148,0.69297,65
239,0.693147,0.69351,65
240,0.693143,0.693373,68
241,0.693147,0.693448,68
242,0.693141,0.691604,68
243,0.693158,0.694659,68
244,0.693147,0.692313,68
245,0.693145,0.693279,68
246,0.693145,0.692514,68
247,0.693142,0.69379,68
248,0.693146,0.692698,68
249,0.69314,0.693401,68
250,0.693143,0.693162,67
251,0.693135,0.693139,67
252,0.693148,0.693797,67
253,0.693146,0.694108,67
254,0.693146,0.692697,67
255,0.693142,0.693429,67
256,0.693147,0.693313,67
257,0.693147,0.693022,67
258,0.693145,0.693128,67
259,0.693145,0.693207,67
260,0.693147,0.693348,70
261,0.693147,0.693398,70
262,0.693124,0.688909,70
263,0.693151,0.693704,70
264,0.693147,0.693517,70
265,0.693148,0.692649,70
266,0.693138,0.692986,70
267,0.693148,0.693503,70
268,0.693144,0.693108,70
269,0.693147,0.693182,70
270,0.693146,0.693202,67
271,0.693131,0.692947,67
272,0.693147,0.693606,67
273,0.693145,0.692984,67
274,0.693142,0.693101,67
275,0.693146,0.693472,67
276,0.693141,0.693198,67
277,0.693148,0.693145,67
278,0.693144,0.692607,67
279,0.69315,0.693719,67
280,0.693147,0.693226,69
281,0.693143,0.692932,69
282,0.693148,0.693523,69
283,0.693143,0.693267,69
284,0.693141,0.693262,69
285,0.693147,0.693136,69
286,0.693143,0.693325,69
287,0.693141,0.692911,69
288,0.693148,0.693798,69
289,0.693145,0.693041,69
290,0.693146,0.693102,68
291,0.693135,0.693389,68
292,0.693147,0.692953,68
293,0.693144,0.692802,68
294,0.693139,0.693766,68
295,0.693146,0.692178,68
296,0.693141,0.685635,68
297,0.693147,0.694775,68
298,0.693149,0.693185,68
299,0.693138,0.693676,68
300,0.693154,0.693504,72
301,0.693145,0.693243,72
302,0.693135,0.693009,72
303,0.693142,0.693666,72
304,0.693147,0.693307,72
305,0.693131,0.693348,72
306,0.693139,0.693275,72
307,0.693141,0.693138,72
308,0.693141,0.693326,72
309,0.693146,0.693018,72
310,0.693149,0.693142,72
311,0.693147,0.693366,72
312,0.693145,0.69321,72
313,0.693147,0.693227,72
314,0.693141,0.693226,72
315,0.693144,0.693069,72
316,0.693147,0.693118,72
317,0.693147,0.693323,72
318,0.693147,0.693173,72
319,0.693146,0.693171,72
320,0.693146,0.693105,72
321,0.693147,0.693238,72
322,0.693143,0.693142,72
323,0.693137,0.693626,72
324,0.693137,0.692665,72
325,0.693148,0.693811,72
326,0.693143,0.69327,72
327,0.693137,0.693207,72
328,0.693152,0.69499,72
329,0.693147,0.692912,72
330,0.693142,0.693309,70
331,0.693145,0.693687,70
332,0.693144,0.693133,70
333,0.693143,0.692977,70
334,0.693145,0.693531,70
335,0.693146,0.693222,70
336,0.693146,0.693031,70
337,0.693146,0.693306,70
338,0.693146,0.693169,70
339,0.693146,0.693207,70
340,0.693146,0.693257,73
341,0.693146,0.693191,73
342,0.693145,0.693171,73
343,0.693147,0.693128,73
344,0.693146,0.693246,73
345,0.693147,0.693216,73
346,0.693145,0.693213,73
347,0.693147,0.693219,73
348,0.693145,0.693308,73
349,0.693147,0.693219,73
350,0.693147,0.693085,71
351,0.693146,0.693154,71
352,0.693147,0.693129,71
353,0.693148,0.693154,71
354,0.693145,0.692939,71
355,0.693147,0.693413,71
356,0.693148,0.693016,71
357,0.693147,0.69297,71
358,0.693145,0.693094,71
359,0.693148,0.693224,71
360,0.693148,0.693934,71
361,0.69314,0.693685,71
362,0.693143,0.693001,71
363,0.693149,0.693578,71
364,0.693142,0.693747,71
365,0.693143,0.693053,71
366,0.693148,0.692561,71
367,0.693145,0.693715,71
368,0.693148,0.693489,71
369,0.693144,0.692463,71
370,0.693141,0.694323,71
371,0.693149,0.692107,71
372,0.693143,0.69373,71
373,0.693147,0.693104,71
374,0.693147,0.692937,71
375,0.693144,0.693253,71
376,0.693147,0.693049,71
377,0.693146,0.693338,71
378,0.693146,0.693416,71
379,0.693147,0.692661,71
380,0.693146,0.69442,71
381,0.693148,0.693056,71
382,0.693147,0.692746,71
383,0.693143,0.693657,71
384,0.693148,0.69203,71
385,0.693149,0.695267,71
386,0.693148,0.692541,71
387,0.693144,0.693211,71
388,0.693143,0.693617,71
389,0.693148,0.693359,71
390,0.693147,0.693566,75
391,0.693143,0.692992,75
392,0.693147,0.693319,75
393,0.693145,0.692905,75
394,0.693146,0.693213,75
395,0.693146,0.693114,75
396,0.693147,0.692533,75
397,0.693147,0.691991,75
398,0.693145,0.693408,75
399,0.693145,0.693358,75
400,0.693145,0.693424,72
401,0.693145,0.693081,72
402,0.693144,0.692817,72
403,0.69315,0.693391,72
404,0.693145,0.693507,72
405,0.693148,0.693724,72
406,0.693144,0.693279,72
407,0.693146,0.693505,72
408,0.693146,0.693551,72
409,0.693147,0.693804,72
410,0.693145,0.693534,73
411,0.693147,0.693077,73
412,0.693145,0.692588,73
413,0.693147,0.693157,73
414,0.693147,0.692846,73
415,0.693146,0.692888,73
416,0.693145,0.693298,73
417,0.693146,0.692847,73
418,0.693146,0.693237,73
419,0.693145,0.693066,73
420,0.693147,0.693322,76
421,0.693146,0.692844,76
422,0.693146,0.693258,76
423,0.693147,0.692672,76
424,0.693147,0.692939,76
425,0.693146,0.692535,76
426,0.693147,0.693393,76
427,0.693143,0.69337,76
428,0.693147,0.693235,76
429,0.693144,0.693267,76
430,0.693147,0.69306,76
431,0.693147,0.693983,76
432,0.693142,0.69298,76
433,0.693148,0.691183,76
434,0.693145,0.69287,76
435,0.693147,0.692939,76
436,0.693146,0.692178,76
437,0.693148,0.691321,76
438,0.693151,0.689244,76
439,0.693156,0.687051,76
440,0.693149,0.695381,76
441,0.693148,0.693445,76
442,0.693148,0.693562,76
443,0.693145,0.69294,76
444,0.693147,0.692845,76
445,0.693147,0.69324,76
446,0.693147,0.693338,76
447,0.693148,0.693213,76
448,0.693147,0.693165,76
449,0.693146,0.693223,76
450,0.693148,0.693263,77
451,0.693145,0.693149,77
452,0.693147,0.69306,77
453,0.693145,0.693042,77
454,0.693146,0.693336,77
455,0.693147,0.693018,77
456,0.693143,0.693271,77
457,0.693149,0.692378,77
458,0.693145,0.693409,77
459,0.693145,0.693247,77
460,0.693148,0.692976,74
461,0.693145,0.693215,74
462,0.693145,0.693144,74
463,0.693145,0.693526,74
464,0.693146,0.693035,74
465,0.693145,0.693045,74
466,0.693146,0.693556,74
467,0.693146,0.69301,74
468,0.693146,0.693393,74
469,0.693147,0.693026,74
470,0.693147,0.693164,74
471,0.693146,0.6932,74
472,0.693147,0.692797,74
473,0.693147,0.693374,74
474,0.693148,0.693126,74
475,0.693147,0.69315,74
476,0.693147,0.692964,74
477,0.693143,0.693372,74
478,0.693151,0.693741,74
479,0.693148,0.693124,74
480,0.693144,0.692997,77
481,0.693149,0.693803,77
482,0.693145,0.693066,77
483,0.693138,0.693729,77
484,0.693144,0.693223,77
485,0.693148,0.693568,77
486,0.69315,0.693938,77
487,0.693143,0.693162,77
488,0.693146,0.693059,77
489,0.693146,0.693216,77
490,0.693144,0.693292,75
491,0.693147,0.693263,75
492,0.693147,0.693247,75
493,0.693144,0.693145,75
494,0.693147,0.693284,75
495,0.693146,0.692855,75
496,0.693146,0.693301,75
497,0.693144,0.693335,75
498,0.693148,0.69325,75
499,0.693146,0.693027,75
500,0.693147,0.693329,79
501,0.693145,0.693126,79
502,0.693146,0.693274,79
503,0.693144,0.693075,79
504,0.693147,0.693148,79
505,0.693147,0.692984,79
506,0.693146,0.692977,79
507,0.693145,0.693379,79
508,0.693148,0.692408,79
509,0.69315,0.692754,79
510,0.693148,0.69278,77
511,0.693145,0.693041,77
512,0.693147,0.693166,77
513,0.693142,0.693358,77
514,0.693148,0.692458,77
515,0.693143,0.694103,77
516,0.693142,0.693146,77
517,0.693147,0.692993,77
518,0.693147,0.693676,77
519,0.693147,0.693268,77
520,0.693146,0.693517,78
521,0.693149,0.692868,78
522,0.693145,0.69352,78
523,0.693146,0.693025,78
524,0.693144,0.693536,78
525,0.693145,0.693068,78
526,0.693144,0.692913,78
527,0.693147,0.693195,78
528,0.693149,0.693529,78
529,0.693146,0.693716,78
530,0.693143,0.692612,76
531,0.693148,0.693446,76
532,0.693143,0.69336,76
